City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
364,Nyurba,RU,81.28,clear sky,63.2842,118.3319,"Гостиница ""Comfort"""
367,Duverge,DO,77.16,overcast clouds,18.3784,-71.5247,Hotel La Casona
368,Zalantun,CN,85.32,clear sky,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
370,Fort Madison,US,70.52,overcast clouds,40.6298,-91.3151,Kingsley Inn
372,Tautira,PF,76.46,light rain,-17.7333,-149.15,Pension Oaoa
375,El Tigre,VE,78.24,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
379,Nova Olinda Do Norte,BR,75.88,heavy intensity rain,-3.8881,-59.0942,Casa Juazeiro
381,Nioro,GM,77.59,overcast clouds,13.35,-15.75,
382,Genhe,CN,86.13,clear sky,50.7833,121.5167,Companionship Hotel
385,Arman,RU,75.02,scattered clouds,59.7,150.1667,
389,Akyab,MM,82.76,overcast clouds,20.15,92.9,Hotel Memory
394,Dahod,IN,81.23,overcast clouds,22.8333,74.2667,Hotel Laxmi Inn
395,Tessalit,ML,89.08,clear sky,20.1986,1.0114,
396,Lensk,RU,83.26,overcast clouds,60.7253,114.9278,ТинОрС
397,Sahuaripa,MX,77.47,overcast clouds,29.05,-109.2333,Estatua de Sahuaripa
401,Madison,US,82.2,scattered clouds,34.7334,-86.5667,Embassy Suites by Hilton Huntsville
402,Moerai,PF,74.55,broken clouds,-22.4333,-151.3333,Le Manotel
404,Kundiawa,PG,79.07,scattered clouds,-6.0167,144.9667,Pari
405,Pochutla,MX,82.22,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
406,Pithoragarh,IN,72.93,broken clouds,29.5833,80.2167,Hipostel Pithoragarh (Cafe Morrison)
409,Nathdwara,IN,77.99,overcast clouds,24.9333,73.8167,Hotel Sudarshan
410,Tura,IN,82.24,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
412,Paro,BT,72.54,scattered clouds,27.4305,89.4133,Metta Resort and Spa
417,Solnechnyy,RU,86.99,light rain,50.7214,136.6319,Hotel complex Pastoral
418,Rupert,US,82.35,clear sky,42.6191,-113.6772,Uptown Motel
424,Sao Joao Do Piaui,BR,73.96,broken clouds,-8.3581,-42.2467,Nayra Palace Hotel
427,Sarkand,KZ,74.88,broken clouds,45.41,79.9186,Гостиница Сарканд
428,Mantua,IT,72.64,clear sky,45.1667,10.7833,Hotel la Favorita
433,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
435,Fort Walton Beach,US,82.98,clear sky,30.4058,-86.6188,Best Western Ft. Walton Beachfront
436,Acarau,BR,76.96,clear sky,-2.8856,-40.12,castelo pizzaria
438,Williamsport,US,84.22,clear sky,41.2412,-77.0011,Hampton Inn Williamsport-Downtown
441,Ilam,NP,74.48,broken clouds,26.9167,87.9167,चियाबारी कटेज
442,Manavalakurichi,IN,82.0,broken clouds,8.1333,77.3,Jebinrio home
443,Manaure,CO,80.65,few clouds,11.7751,-72.4445,Hotel Palaaima
444,Iberia,US,77.07,clear sky,29.9502,-91.7507,back to back rv park
446,Agadez,NE,85.66,few clouds,19.75,10.25,
447,Aripuana,BR,74.52,scattered clouds,-9.1667,-60.6333,
448,Kedougou,SN,76.42,broken clouds,12.5579,-12.1743,Relais de Kédougou
451,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
454,Kuah,MY,80.58,few clouds,6.3265,99.8432,Azio Hotel
455,Mana,GF,76.6,scattered clouds,5.6592,-53.7767,LE SAMANA
456,Baglung,NP,75.04,overcast clouds,28.2719,83.5898,Hotel Peace Palace
457,Suruc,TR,74.66,clear sky,36.9761,38.425,PEHLİVANKESMESİ KÖYÜ
458,Portobelo,PA,75.96,overcast clouds,9.55,-79.65,Scuba Portobelo
462,Kassala,SD,79.63,broken clouds,15.451,36.4,Amassi Hotel Gash
464,Vila Do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
465,Buraydah,SA,81.05,few clouds,26.326,43.975,Mövenpick Qassim
466,Kresek,ID,88.56,broken clouds,-6.1314,106.3797,Kamar aldi
468,Udankudi,IN,86.18,broken clouds,8.4333,78.0167,"SRI ANANDHI TRADERS,UDANGUDI"
473,Port Antonio,JM,84.11,overcast clouds,18.18,-76.4612,The Trident Hotel
475,Natal,BR,77.22,moderate rain,-5.795,-35.2094,Villa Park Hotel | Natal
476,Magadan,RU,74.53,scattered clouds,59.5667,150.8,Magadan hotel
482,Partenit,UA,70.56,clear sky,44.578,34.3446,Приватотель
483,Cuiaba,BR,71.53,clear sky,-15.5961,-56.0967,Getúllio Hotel
484,Kawalu,ID,77.18,overcast clouds,-7.3817,108.2082,West Jontor
485,Ingleside,US,86.02,clear sky,27.8778,-97.2117,Quality Inn Ingleside - Corpus Christi
486,Chumikan,RU,74.77,clear sky,54.7183,135.315,Fortuna
487,Jensen Beach,US,84.0,overcast clouds,27.2545,-80.2298,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
491,Champerico,GT,81.66,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
492,Asyut,EG,78.98,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
496,West Bay,KY,86.07,broken clouds,19.3667,-81.4167,Calypso Cove
497,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
498,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
501,Silifke,TR,78.89,clear sky,36.3778,33.9344,Ayatekla Hotel
503,Basco,PH,81.36,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
504,Ngama,TD,80.15,overcast clouds,11.7833,17.1667,
505,Kralendijk,BQ,80.58,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
508,Gigmoto,PH,86.4,light rain,13.7796,124.39,Cj's Travellers Inn
509,San Miguel,SV,85.66,scattered clouds,13.4833,-88.1833,Excalibur
512,Redlands,US,87.55,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
514,Vao,NC,71.46,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
517,Pocinhos,BR,70.09,overcast clouds,-7.0767,-36.0611,Hotel Central
518,Poronaysk,RU,77.95,clear sky,49.2167,143.1167,Avtovokzal Khostel Stolovaya
521,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
522,Vilyuysk,RU,78.51,few clouds,63.7553,121.6247,Gostinitsa Viliuisk
525,Mitsamiouli,KM,75.42,clear sky,-11.3847,43.2844,Foyer ADM
526,Abu Dhabi,AE,87.82,few clouds,24.4667,54.3667,Beach Rotana
532,Vung Tau,VN,83.68,overcast clouds,10.346,107.0843,Seaside Resort
534,Santa Rosalia,MX,88.09,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
535,Eirunepe,BR,75.99,broken clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
536,Dakar,SN,76.08,broken clouds,14.6937,-17.4441,Novotel Dakar
537,Mama,RU,83.35,light rain,58.3106,112.8986,
538,Panalingaan,PH,87.04,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
542,Katsuura,JP,82.51,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
544,Lekoni,GA,76.53,broken clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
545,Qinhuangdao,CN,80.98,overcast clouds,39.9317,119.5883,Qinhuangdao Peninsula Seasons Hotel And Apartment
546,Amga,RU,83.14,clear sky,60.8953,131.9608,Algys
549,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
552,Central Point,US,84.33,clear sky,42.376,-122.9164,Courtyard by Marriott Medford Airport
554,Nova Russas,BR,70.38,scattered clouds,-4.7067,-40.5631,palace motel
557,South Valley,US,78.35,broken clouds,35.0101,-106.6781,desert palms rv park
558,Garissa,KE,70.09,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
562,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
564,Wagar,SD,81.7,scattered clouds,16.1525,36.2032,
567,Kannur,IN,79.05,moderate rain,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
569,Ambunti,PG,88.93,scattered clouds,-4.2365,142.8448,AMBUNTI HIDE INN
573,Tungor,RU,75.72,clear sky,53.3808,142.9564,
575,Wawa,NG,73.54,overcast clouds,9.9022,4.4192,
576,Tagusao,PH,86.27,broken clouds,9.1924,117.8141,Caycay future beach resort
577,Aquiraz,BR,81.18,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
578,Lexington,US,84.2,scattered clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
579,Pangkalanbuun,ID,88.66,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
580,Surt,LY,77.7,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
581,Ixtapa,MX,77.07,scattered clouds,20.7,-105.2,hotel la terminal
582,Meulaboh,ID,77.7,overcast clouds,4.1363,96.1285,Kost Pria
583,Petropavlovsk-Kamchatskiy,RU,70.39,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
586,Korla,CN,87.8,broken clouds,41.7597,86.1469,Gulisitan Hotel
587,Nixa,US,82.45,overcast clouds,37.0434,-93.2944,Super 8 by Wyndham Nixa/Springfield Area
589,Fort Nelson,CA,71.19,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
590,Santa Rosa,PH,89.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
592,Minbu,MM,87.06,overcast clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
593,Bonthe,SL,76.12,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
594,Avera,US,73.45,overcast clouds,33.194,-82.5271,
598,Opportunity,US,83.89,clear sky,47.6499,-117.2399,Comfort Inn & Suites
599,Vaitape,PF,78.46,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
600,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
601,Mahibadhoo,MV,79.59,light rain,3.7833,72.9667,Omadhoo Inn
605,Namatanai,PG,85.28,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
613,Fare,PF,78.4,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
614,Atambua,ID,80.78,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
616,Inuvik,CA,83.26,few clouds,68.3499,-133.7218,Nova Inn Inuvik
617,Urumqi,CN,74.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
619,Eyl,SO,79.65,scattered clouds,7.9803,49.8164,Amiin Hotel
620,Eydhafushi,MV,82.31,overcast clouds,5.1033,73.0708,Soneva Fushi
621,Yuci,CN,83.95,clear sky,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
622,Mogzon,RU,86.54,clear sky,51.7435,111.9606,
624,Jackson,US,84.07,clear sky,42.4165,-122.8345,Agate Village Apartments
625,Sungaipenuh,ID,76.3,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
627,Salinopolis,BR,77.85,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
629,Vanimo,PG,84.04,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
630,Novo Aripuana,BR,75.76,scattered clouds,-5.1206,-60.3797,Hotel Ezequiel
631,Lae,PG,88.47,scattered clouds,-6.7221,146.9847,Phils Hotel
632,Kirakira,SB,83.82,clear sky,-10.4544,161.9205,SanBiz Lodge
634,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
636,Petatlan,MX,79.83,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
638,Banjar,ID,86.58,overcast clouds,-8.19,114.9675,The Hamsa Resort
639,Beni Mazar,EG,77.2,clear sky,28.4962,30.8029,Link Co-Working space & Development center
641,Ilyich,KZ,82.29,clear sky,40.8464,68.5067,Aul Madeniyet
642,Ormond Beach,US,77.02,overcast clouds,29.2858,-81.0559,Makai Beach Lodge
644,Salina,US,72.01,overcast clouds,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
645,Vermilion,US,74.3,clear sky,40.1667,-87.7506,Sparkling Springs Cabin
647,Osoyoos,CA,79.21,broken clouds,49.0331,-119.4524,Watermark Beach Resort
648,Aitape,PG,85.84,broken clouds,-3.1374,142.3475,
650,Griffith,US,72.9,clear sky,41.5284,-87.4237,Apartment above Depot Bar
651,Manacapuru,BR,77.23,scattered clouds,-3.2997,-60.6206,Novo Hotel
653,Oum Hadjer,TD,79.2,overcast clouds,13.2954,19.6966,
654,Brownsville,US,85.08,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
658,Gazalkent,UZ,84.18,clear sky,41.5581,69.7708,Khumson Sanatoriy
661,Makat,KZ,73.54,scattered clouds,47.6469,53.3463,Umit
662,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
663,Hailun,CN,76.53,broken clouds,47.45,126.9333,Wanhao Hotel
664,Knysna,ZA,71.04,clear sky,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
668,Nizwa,OM,88.23,overcast clouds,22.9333,57.5333,Orient Apartments
670,Houston,US,85.12,broken clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
673,Lumsden,CA,70.75,broken clouds,50.6501,-104.8678,Lumsden Hotel & Steak Pit
674,Tianpeng,CN,75.72,scattered clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
678,Afua,BR,74.48,few clouds,-0.1567,-50.3867,Hotel Dias
679,Masakin,TN,82.6,few clouds,35.7292,10.5808,DAR EL ANDALOUS Guest house
681,Mayumba,GA,71.24,scattered clouds,-3.432,10.6554,LIKWALE LODGE
682,Oussouye,SN,78.6,overcast clouds,12.485,-16.5469,Auberge du Routard
684,Bulungu,CD,70.32,few clouds,-4.55,18.6,Maison MC Michel
686,Balikpapan,ID,85.19,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
